Wavelength,Reflectance_01,Reflectance_02,Reflectance_03,Reflectance_04,Reflectance_05,Reflectance_06,Reflectance_07,Reflectance_08,Reflectance_09,Reflectance_10,Reflectance_11,Reflectance_12,Reflectance_13,Reflectance_14,Reflectance_15,Reflectance_16,Reflectance_17,Reflectance_18,Reflectance_19,Reflectance_20,Reflectance_21,Reflectance_22,Reflectance_23,Reflectance_24
400,0.077579,0.252865,0.264638,0.067688,0.368829,0.286826,0.092702,0.287619,0.188211,0.218067,0.120926,0.126758,0.245716,0.111865,0.095019,0.123702,0.34484,0.250963,0.480827,0.426574,0.326866,0.197436,0.105205,0.038752
404,0.074422,0.255158,0.277855,0.064893,0.409323,0.299143,0.089555,0.313093,0.183182,0.219369,0.119424,0.118952,0.257087,0.104113,0.085832,0.119846,0.376426,0.272247,0.578796,0.495074,0.35615,0.205698,0.105957,0.037741
408,0.076593,0.255745,0.292907,0.063665,0.442115,0.31521,0.085472,0.330524,0.181296,0.221501,0.116632,0.113627,0.270635,0.103697,0.081313,0.114174,0.397004,0.285163,0.686298,0.556824,0.378344,0.208848,0.106455,0.037599
412,0.072293,0.253251,0.297855,0.061984,0.45862,0.325791,0.083222,0.34696,0.175788,0.222418,0.112903,0.111079,0.28246,0.099747,0.075768,0.107746,0.401309,0.298733,0.777347,0.589501,0.384212,0.208677,0.106758,0.036418
416,0.072469,0.247494,0.30713,0.061516,0.463693,0.329573,0.076098,0.358673,0.168924,0.219999,0.107665,0.106132,0.292935,0.096071,0.072742,0.102309,0.402905,0.29996,0.842925,0.607017,0.388133,0.209287,0.105475,0.035596
420,0.070692,0.242587,0.309027,0.059771,0.461697,0.332253,0.071458,0.367769,0.162975,0.215583,0.105583,0.099639,0.30036,0.093172,0.067047,0.097729,0.401991,0.305491,0.877689,0.611959,0.391375,0.210071,0.107252,0.035208
424,0.07043,0.240456,0.315765,0.059805,0.461061,0.336358,0.07198,0.378546,0.158291,0.210573,0.102023,0.095377,0.308004,0.091737,0.065116,0.093797,0.401861,0.316138,0.894658,0.615636,0.392027,0.209531,0.10539,0.03383
428,0.068835,0.237797,0.322096,0.058511,0.462004,0.34528,0.067728,0.388248,0.155529,0.20636,0.101698,0.092804,0.318237,0.088814,0.063166,0.092075,0.393857,0.323968,0.900809,0.616832,0.393485,0.212154,0.105917,0.034448
432,0.068126,0.236012,0.328595,0.058107,0.459761,0.353156,0.066929,0.397392,0.154057,0.200269,0.099759,0.089634,0.326865,0.08792,0.059647,0.09014,0.384256,0.329797,0.904155,0.619822,0.395513,0.213441,0.107419,0.033561
436,0.067688,0.234634,0.338713,0.057384,0.459917,0.363282,0.06556,0.407474,0.150345,0.194105,0.099733,0.088801,0.33431,0.088445,0.058778,0.088139,0.374692,0.345993,0.90929,0.622679,0.397983,0.213464,0.107682,0.033601
440,0.066896,0.233736,0.348059,0.057473,0.456245,0.372672,0.064223,0.414884,0.147832,0.186812,0.099576,0.086832,0.341877,0.086893,0.057087,0.087036,0.363895,0.360106,0.908223,0.622849,0.399824,0.215076,0.106637,0.033172
444,0.067167,0.233927,0.356537,0.056772,0.45259,0.383331,0.064645,0.419495,0.146692,0.177565,0.100169,0.085988,0.350055,0.087956,0.056782,0.086826,0.352136,0.373212,0.9096,0.624757,0.402151,0.217398,0.107357,0.033501
448,0.066465,0.233565,0.360401,0.05726,0.446928,0.395903,0.064233,0.422689,0.143996,0.169894,0.100558,0.085671,0.354007,0.086783,0.056307,0.086938,0.338044,0.386409,0.912137,0.626783,0.402194,0.216394,0.106915,0.032636
452,0.066308,0.23603,0.361259,0.057956,0.440243,0.408748,0.064272,0.42148,0.1424,0.162251,0.102694,0.085658,0.355012,0.088974,0.055829,0.087042,0.324185,0.398775,0.913287,0.62683,0.402892,0.216375,0.107055,0.032824
456,0.066921,0.237922,0.360592,0.05846,0.433509,0.421373,0.064877,0.416551,0.139551,0.155612,0.104714,0.085752,0.352611,0.090058,0.056635,0.088897,0.310414,0.411176,0.914112,0.626214,0.401327,0.215217,0.106179,0.032468
460,0.067667,0.241963,0.359361,0.06028,0.427398,0.43708,0.066462,0.409186,0.138667,0.149764,0.107802,0.085339,0.347344,0.091622,0.057366,0.091964,0.298437,0.427318,0.916278,0.625166,0.400603,0.214059,0.105723,0.032587
