Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.0356495,0.034101,0.033919000000000005,0.032979,0.031549,0.032328499999999996,0.033969
450,0.036112,0.034038,0.032507499999999995,0.0315015,0.0312295,0.03111,0.032709
500,0.035989999999999994,0.033728,0.031993,0.030875,0.030676500000000002,0.030808500000000003,0.0320025
550,0.03555,0.0334785,0.031616,0.0306875,0.030409,0.0305755,0.0317775
600,0.035208500000000004,0.033169000000000004,0.03146,0.03053,0.030313,0.0305635,0.031730999999999995
650,0.0348915,0.033008,0.031318,0.030526,0.030371500000000003,0.0306045,0.0318465
700,0.0350255,0.0338515,0.031733,0.031569,0.030471,0.0309725,0.0320355
750,0.034816,0.033743,0.031795,0.0316325,0.030763,0.031253500000000004,0.032409
800,0.034698,0.0337305,0.031943,0.031847,0.031065000000000002,0.0315335,0.032747
850,0.03456,0.033882499999999996,0.032174,0.032229,0.0314715,0.031982,0.033191
900,0.034597,0.033989,0.032365,0.032605999999999996,0.031913,0.032490000000000005,0.0337085
950,0.0345315,0.034103999999999995,0.032637,0.0329995,0.032410499999999995,0.0330255,0.034301
1000,0.0343055,0.0345865,0.0334255,0.033266000000000004,0.0335045,0.034269999999999995,0.034719
1050,0.034596,0.0346615,0.0333635,0.034133,0.0339455,0.034713,0.0361075
1100,0.034852499999999995,0.034931500000000004,0.033588,0.0341985,0.03508,0.035016500000000006,0.037073999999999996
1150,0.0349855,0.035186499999999996,0.034396499999999997,0.034962,0.0353915,0.0366215,0.038366
1200,0.035838,0.035614,0.0350775,0.036254,0.036497,0.0378305,0.039629
1250,0.036113000000000006,0.0363115,0.035685999999999996,0.0373825,0.0376915,0.039185,0.041316
1300,0.0364035,0.0368625,0.0368415,0.038429,0.038930000000000006,0.0406315,0.043169
1350,0.035585500000000006,0.0372235,0.037069000000000005,0.0389595,0.040008,0.0420585,0.0447875
1400,0.036079,0.037516999999999995,0.0378255,0.039908,0.041536000000000003,0.043469499999999994,0.046767
1450,0.036864,0.038322999999999996,0.0390915,0.041501,0.043358,0.0461975,0.04994
1500,0.0377665,0.0394115,0.040297,0.042909,0.0453355,0.048597,0.053173
